Time (s),Pump 1 (uL/min),Pump 2 (uL/min)
41.99999832,326.6702961,473.3297039
42.08333165,326.7198593,473.2801407
42.16666498,326.7703162,473.2296838
42.24999831,326.8216664,473.1783336
42.33333164,326.873909,473.126091
42.41666497,326.927044,473.072956
42.4999983,326.9810706,473.0189294
42.58333163,327.0359873,472.9640127
42.66666496,327.0917942,472.9082058
42.74999829,327.1484909,472.8515091
42.83333162,327.2060759,472.7939241
42.91666495,327.2645489,472.7354511
42.99999828,327.3239093,472.6760907
43.08333161,327.3841559,472.6158441
43.16666494,327.4452886,472.5547114
43.24999827,327.5073062,472.4926938
43.3333316,327.5702081,472.4297919
43.41666493,327.6339939,472.3660061
43.49999826,327.6986618,472.3013382
43.58333159,327.7642122,472.2357878
43.66666492,327.8306435,472.1693565
43.74999825,327.897955,472.102045
43.83333158,327.9661464,472.0338536
43.91666491,328.0352164,471.9647836
43.99999824,328.105164,471.894836
44.08333157,328.1759887,471.8240113
44.1666649,328.2476898,471.7523102
44.24999823,328.3202658,471.6797342
44.33333156,328.3937163,471.6062837
44.41666489,328.4680404,471.5319596
44.49999822,328.5432367,471.4567633
44.58333155,328.6193049,471.3806951
44.66666488,328.696244,471.303756
44.74999821,328.7740526,471.2259474
44.83333154,328.8527304,471.1472696
44.91666487,328.9322759,471.0677241
44.9999982,329.0126883,470.9873117
45.08333153,329.0939663,470.9060337
45.16666486,329.1761098,470.8238902
45.24999819,329.259117,470.740883
45.33333152,329.3429871,470.6570129
45.41666485,329.4277191,470.5722809
45.49999818,329.5133117,470.4866883
45.58333151,329.5997645,470.4002355
45.66666484,329.6870757,470.3129243
45.74999817,329.7752448,470.2247552
45.8333315,329.8642709,470.1357291
45.91666483,329.9541523,470.0458477
45.99999816,330.0448879,469.9551121
46.08333149,330.1364771,469.8635229
46.16666482,330.2289183,469.7710817
46.24999815,330.3222107,469.6777893
46.33333148,330.416353,469.583647
46.41666481,330.5113442,469.4886558
46.49999814,330.607183,469.392817
46.58333147,330.7038682,469.2961318
46.6666648,330.8013991,469.1986009
46.74999813,330.8997736,469.1002264
46.83333146,330.9989913,469.0010087
46.91666479,331.0990503,468.9009497
46.99999812,331.1999502,468.8000498
47.08333145,331.3016892,468.6983108
47.16666478,331.4042664,468.5957336
47.24999811,331.5076801,468.4923199
47.33333144,331.6119297,468.3880703
47.41666477,331.717013,468.282987
47.4999981,331.8229296,468.1770704
47.58333143,331.9296777,468.0703223
47.66666476,332.0372559,467.9627441
47.74999809,332.1456634,467.8543366
47.83333142,332.2548988,467.7451012
47.91666475,332.3649603,467.6350397
47.99999808,332.4758466,467.5241534
48.08333141,332.5875572,467.4124428
